a_lua_i,e_lua_i,M0,inc_lua_i,status,dist_min,t_periapsis,dentro_alerta,dentro_hill,dentro_forte
1.45,0.5,270,0,COLISAO,4.4464353151467494e-05,1184.9972446816062,True,True,True
1.45,0.5,270,10,ESTAVEL,0.0015672074734698809,8415.902631330442,True,True,True
1.45,0.5,270,20,ESTAVEL,0.006991443387609719,11001.456961803464,True,True,False
1.45,0.5,315,0,COLISAO,0.0003628803820382049,209.94062028456756,True,True,True
1.45,0.5,315,10,ESTAVEL,0.019200327368505285,7797.8226670205395,True,False,False
1.45,0.5,315,20,ESTAVEL,0.005183213839175817,31909.613689109894,True,True,False
1.45,0.55,0,0,COLISAO,4.451289984898872e-05,10833.847870160216,True,True,True
1.45,0.55,0,10,ESTAVEL,0.010021447840169895,25509.038263875424,True,False,False
1.45,0.55,0,20,ESTAVEL,0.0016853992154338777,30432.411686503547,True,True,True
1.45,0.55,45,0,COLISAO,0.0010465765687464853,3855.0282087515257,True,True,True
1.45,0.55,45,10,ESTAVEL,0.003274011074258058,25692.05516607951,True,True,True
1.45,0.55,45,20,ESTAVEL,0.07666990815070576,49348.58640912322,False,False,False
1.45,0.55,90,0,COLISAO,0.002349272764144595,2404.0103751967513,True,True,True
1.45,0.55,90,10,ESTAVEL,0.0019146928374969457,28942.42042483522,True,True,True
1.45,0.55,90,20,ESTAVEL,0.0011468095443692553,49815.62797847882,True,True,True
1.45,0.55,135,0,EJETADA,6.528835560867647e-05,20099.786809454163,True,True,True
1.45,0.55,135,10,ESTAVEL,0.001215116918493038,46550.18892049089,True,True,True
1.45,0.55,135,20,ESTAVEL,0.04095012712070402,11080.927476273446,False,False,False
1.45,0.55,180,0,COLISAO,4.2625769161114065e-05,7931.847089590755,True,True,True
1.45,0.55,180,10,ESTAVEL,0.008734059540652392,8444.390290387775,True,True,False
1.45,0.55,180,20,ESTAVEL,0.006599367619722973,30396.092161392306,True,True,False
1.45,0.55,225,0,COLISAO,4.477357348636229e-05,5262.978013400483,True,True,True
1.45,0.55,225,10,ESTAVEL,0.08974613009065907,5810.7503419065515,False,False,False
1.45,0.55,225,20,ESTAVEL,0.06306207492050003,48728.990745810166,False,False,False
1.45,0.55,270,0,COLISAO,4.320596656439651e-05,5672.253348709956,True,True,True
1.45,0.55,270,10,ESTAVEL,0.014443581619825875,8162.8399916116605,True,False,False
1.45,0.55,270,20,ESTAVEL,0.004934971321150382,49715.94145057689,True,True,True
1.45,0.55,315,0,COLISAO,0.00035719463475964233,3141.774772533831,True,True,True
1.45,0.55,315,10,ESTAVEL,0.003199119386727968,24858.184084112912,True,True,True
1.45,0.55,315,20,ESTAVEL,0.029324010354098262,29351.776328656902,False,False,False
1.45,0.6,0,0,COLISAO,0.00016739470661963638,590.9830115128315,True,True,True
1.45,0.6,0,10,ESTAVEL,0.0007657454285733662,24490.881001359216,True,True,True
1.45,0.6,0,20,ESTAVEL,0.04772812757720346,8465.370017668034,False,False,False
1.45,0.6,45,0,COLISAO,4.407300492292747e-05,12798.711197738521,True,True,True
1.45,0.6,45,10,ESTAVEL,0.0034406392152241667,40152.86688530136,True,True,True
1.45,0.6,45,20,ESTAVEL,0.003353604620649373,47439.45816795812,True,True,True
1.45,0.6,90,0,EJETADA,4.3762024076594775e-05,9346.850307421959,True,True,True
1.45,0.6,90,10,ESTAVEL,0.006005736355152272,42735.7821421221,True,True,False
1.45,0.6,90,20,ESTAVEL,0.0046739351308582935,28725.453224935056,True,True,True
1.45,0.6,135,0,COLISAO,0.00012290547966787446,5988.449798444524,True,True,True
1.45,0.6,135,10,ESTAVEL,0.0032734545853939437,41217.99486939531,True,True,True
1.45,0.6,135,20,ESTAVEL,0.001809231459121321,10323.136285567572,True,True,True
1.45,0.6,180,0,COLISAO,0.00012700747372069445,1009.1816994872094,True,True,True
1.45,0.6,180,10,ESTAVEL,0.005214294436162171,8686.890305301136,True,True,False
1.45,0.6,180,20,ESTAVEL,0.0033254500206398563,46078.56676316091,True,True,True
1.45,0.6,225,0,EJETADA,0.0006654268340187215,3788.198814596375,True,True,True
1.45,0.6,225,10,ESTAVEL,0.029485504608285695,24238.778079088686,False,False,False
1.45,0.6,225,20,ESTAVEL,0.008758073668418036,27566.42157150638,True,True,False
1.45,0.6,270,0,COLISAO,0.0002410147244680095,4748.924756811253,True,True,True
1.45,0.6,270,10,ESTAVEL,0.007143700884606388,39870.451586800074,True,True,False
1.45,0.6,270,20,ESTAVEL,0.006424027524750982,10142.901564193047,True,True,False
1.45,0.6,315,0,COLISAO,9.176210358208352e-05,13238.297519975047,True,True,True
