a_lua_i,e_lua_i,M0,inc_lua_i,status,dist_min,t_periapsis,dentro_alerta,dentro_hill,dentro_forte
1.65,0.5,90,20,ESTAVEL,0.003559804100911113,26808.905536229715,True,True,True
1.65,0.5,135,0,EJETADA,0.00023533331730902682,14737.922319480245,True,True,True
1.65,0.5,135,10,ESTAVEL,0.00169276344397999,9046.444820944076,True,True,True
1.65,0.5,135,20,ESTAVEL,0.017295011724644347,7274.858154070796,True,False,False
1.65,0.5,180,0,COLISAO,0.00034939315201875694,759.8270893989917,True,True,True
1.65,0.5,180,10,ESTAVEL,0.0010292955586378983,39369.78690558932,True,True,True
1.65,0.5,180,20,ESTAVEL,0.006704163205148786,7173.866723103257,True,True,False
1.65,0.5,225,0,COLISAO,0.00014056183425493568,449.8331618279165,True,True,True
1.65,0.5,225,10,ESTAVEL,0.004472413421790385,34594.79114232177,True,True,True
1.65,0.5,225,20,ESTAVEL,0.0034578586316641033,26110.901883619124,True,True,True
1.65,0.5,270,0,EJETADA,9.986152795295625e-05,9407.454671810674,True,True,True
1.65,0.5,270,10,ESTAVEL,0.0004869715705745519,23853.811965751043,True,True,True
1.65,0.5,270,20,ESTAVEL,0.003807808717831123,43019.52556460193,True,True,True
1.65,0.5,315,0,COLISAO,0.0009602265643673309,2769.2922958747613,True,True,True
1.65,0.5,315,10,ESTAVEL,0.005627429495038123,39519.003976375505,True,True,False
1.65,0.5,315,20,ESTAVEL,0.012326337376233714,23497.81350113785,True,False,False
1.65,0.55,0,0,COLISAO,6.427679163740265e-05,20453.8661120509,True,True,True
1.65,0.55,0,10,ESTAVEL,0.005087102348238403,48604.06287278437,True,True,False
1.65,0.55,0,20,ESTAVEL,0.006111388478151968,23648.26411191908,True,True,False
1.65,0.55,45,0,COLISAO,0.0008588600775629197,5603.4974010035085,True,True,True
1.65,0.55,45,10,ESTAVEL,0.013305725277073844,5983.8009261933485,True,False,False
1.65,0.55,45,20,ESTAVEL,0.009359694003101325,37634.50079771342,True,True,False
1.65,0.55,90,0,COLISAO,0.0003130133727572162,6008.551996237711,True,True,True
1.65,0.55,90,10,ESTAVEL,0.00750220709341211,48637.38425196471,True,True,False
1.65,0.55,90,20,ESTAVEL,0.004793955243075868,8338.327583575232,True,True,True
1.65,0.55,135,0,COLISAO,4.384245631539152e-05,1495.4601153593253,True,True,True
1.65,0.55,135,10,ESTAVEL,0.005265003843446145,22134.106700209075,True,True,False
1.65,0.55,135,20,ESTAVEL,0.004362348551227987,8267.373268517975,True,True,True
1.65,0.55,180,0,EJETADA,0.0001478043224010496,12674.473833592609,True,True,True
1.65,0.55,180,10,ESTAVEL,0.0027269322689031286,19845.57430961501,True,True,True
1.65,0.55,180,20,ESTAVEL,0.005893872938809318,23779.08981563435,True,True,False
1.65,0.55,225,0,COLISAO,0.00010659125327703262,5264.607725967013,True,True,True
1.65,0.55,225,10,ESTAVEL,0.015781080152928575,6138.803900137999,True,False,False
1.65,0.55,225,20,ESTAVEL,0.0002763630508878662,23954.83083327293,True,True,True
1.65,0.55,270,0,EJETADA,7.512950480443682e-05,4432.490593138895,True,True,True
1.65,0.55,270,10,ESTAVEL,0.006697128099651177,6372.825960423241,True,True,False
1.65,0.55,270,20,ESTAVEL,0.003873208827758719,39614.21008230293,True,True,True
1.65,0.55,315,0,EJETADA,4.8147592117085e-05,8281.329229578354,True,True,True
1.65,0.55,315,10,ESTAVEL,0.005405907642247653,46059.36238483551,True,True,False
1.65,0.55,315,20,ESTAVEL,0.00725722123608511,38308.85760922493,True,True,False
1.65,0.6,0,0,COLISAO,0.0003039013680207394,1537.6871175770086,True,True,True
1.65,0.6,0,10,ESTAVEL,0.0043997997866919904,19213.348633241993,True,True,True
1.65,0.6,0,20,ESTAVEL,0.010202684658223724,7453.828903878556,True,False,False
1.65,0.6,45,0,COLISAO,4.589306235174388e-05,5501.969462890532,True,True,True
1.65,0.6,45,10,ESTAVEL,0.002173091346017308,31391.768730928077,True,True,True
1.65,0.6,45,20,ESTAVEL,0.003594813888396765,7448.81625579138,True,True,True
1.65,0.6,90,0,COLISAO,0.00029840264600775534,8426.26520085216,True,True,True
1.65,0.6,90,10,ESTAVEL,0.012414638944686942,6952.29171520134,True,False,False
1.65,0.6,90,20,ESTAVEL,0.007823267603839041,7153.315092279218,True,True,False
1.65,0.6,135,0,EJETADA,0.00012616011804871062,7563.3474189489,True,True,True
1.65,0.6,135,10,ESTAVEL,0.004620068739685714,6737.269900709847,True,True,True
1.65,0.6,135,20,ESTAVEL,0.019821714909561573,21989.152208304775,True,False,False
1.65,0.6,180,0,COLISAO,6.337781427344789e-05,14287.609451302573,True,True,True
1.65,0.6,180,10,ESTAVEL,0.006001402863690029,6504.799507582306,True,True,False
1.65,0.6,180,20,ESTAVEL,0.006432130595011974,35174.52963206729,True,True,False
1.65,0.6,225,0,EJETADA,6.684051823216759e-05,9181.566858084303,True,True,True
1.65,0.6,225,10,ESTAVEL,0.006097167109874834,33025.72579816541,True,True,False
1.65,0.6,225,20,ESTAVEL,0.006043596196722031,36285.90571134327,True,True,False
1.65,0.6,270,0,COLISAO,0.0005205677522023647,5260.195898244396,True,True,True
1.65,0.6,270,10,ESTAVEL,0.0034972405291385893,46469.46160369533,True,True,True
1.65,0.6,270,20,ESTAVEL,0.010650054229412063,21907.626091426624,True,False,False
1.65,0.6,315,0,COLISAO,4.269206537788645e-05,23385.35683277666,True,True,True
1.65,0.6,315,10,ESTAVEL,0.0061337861955226315,32339.962504842177,True,True,False
1.65,0.6,315,20,ESTAVEL,0.009847013838232443,35872.53891262778,True,True,False
1.7,0.4,0,0,COLISAO,4.580532017256186e-05,26252.3379887828,True,True,True
1.7,0.4,0,10,ESTAVEL,0.01959820913200772,1144.760025767349,True,False,False
1.7,0.4,0,20,ESTAVEL,0.016796762918202247,607.7332821198047,True,False,False
1.7,0.4,45,0,COLISAO,0.0008412142814256118,8976.720202339813,True,True,True
1.7,0.4,45,10,ESTAVEL,0.018794150633570785,1011.7531975402309,True,False,False
1.7,0.4,45,20,ESTAVEL,0.016270285630145,515.7366221220616,True,False,False
1.7,0.4,90,0,COLISAO,0.000832237081038506,16283.661182646287,True,True,True
1.7,0.4,90,10,ESTAVEL,0.0179891372115557,440.7280511314927,True,False,False
1.7,0.4,90,20,ESTAVEL,0.026910158209089402,2510.766921956766,False,False,False
1.7,0.4,135,0,COLISAO,4.533546598290521e-05,21608.8578477596,True,True,True
1.7,0.4,135,10,ESTAVEL,0.019355399148833826,1129.76120413995,True,False,False
1.7,0.4,135,20,ESTAVEL,0.01651201920128728,1568.7895805420358,True,False,False
1.7,0.4,180,0,ESTAVEL,0.017807763813895938,745.7311300738419,True,False,False
1.7,0.4,180,10,ESTAVEL,0.01676676014241991,171.7200815038383,True,False,False
1.7,0.4,180,20,ESTAVEL,0.01613755222676976,303.73476236675094,True,False,False
1.7,0.4,225,0,ESTAVEL,0.001877449212945725,44234.31065483204,True,True,True
1.7,0.4,225,10,ESTAVEL,0.021993462045405608,1400.77221224719,False,False,False
1.7,0.4,225,20,ESTAVEL,0.019088187749020158,907.7655014277512,True,False,False
1.7,0.4,270,0,COLISAO,0.0001743738003437097,7320.46510172443,True,True,True
1.7,0.4,270,10,ESTAVEL,0.019805230441766932,1146.7357920654874,True,False,False
1.7,0.4,270,20,ESTAVEL,0.019143789096804222,1538.7754647849736,True,False,False
1.7,0.4,315,0,COLISAO,0.011374741109921573,8819.824213112839,True,False,False
1.7,0.4,315,10,ESTAVEL,0.017502916638221604,580.7518767579659,True,False,False
1.7,0.4,315,20,ESTAVEL,0.017949115747094672,454.7330129716464,True,False,False
1.7,0.43,0,0,COLISAO,0.00020496840119584335,5664.227809454297,True,True,True
1.7,0.43,0,10,ESTAVEL,0.0026509121666995687,13125.3311820206,True,True,True
1.7,0.43,0,20,ESTAVEL,0.0017040205892280094,20840.541323666013,True,True,True
1.7,0.43,45,0,COLISAO,4.4904063937882064e-05,3368.19526031739,True,True,True
1.7,0.43,45,10,ESTAVEL,0.00036424050020525514,15681.488403994972,True,True,True
1.7,0.43,45,20,ESTAVEL,0.007594534213549946,4539.89120857676,True,True,False
1.7,0.43,90,0,COLISAO,0.00027354363627071456,5543.454096827644,True,True,True
1.7,0.43,90,10,ESTAVEL,0.0028572798077494514,3185.808877968191,True,True,True
1.7,0.43,90,20,ESTAVEL,0.01496356658998207,4113.757991084674,True,False,False
1.7,0.43,135,0,EJETADA,0.00020106169402170192,2142.5090829837545,True,True,True
1.7,0.43,135,10,ESTAVEL,0.015871098516583006,3726.815475657826,True,False,False
1.7,0.43,135,20,ESTAVEL,0.004731486465936212,13220.154370866847,True,True,True
1.7,0.43,180,0,COLISAO,0.00015612963748918928,14122.112672344367,True,True,True
