label,a0_RE,e0,a_final_RE,e_final,t_star_a_kyr,t_star_e_kyr,ratio_a,ratio_e,status_a,status_e
P1-06|f12|T=turb_Q3|L=semi_fundid,100.81,0.8462,102.32,0.717838,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q3|L=fundida,100.81,0.8462,101.64,0.683046,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q2|L=quase_sol,100.81,0.8462,106.96,0.776554,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q2|L=semi_sol,100.81,0.8462,105.91,0.765898,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q2|L=transicao,100.81,0.8462,104.37,0.745419,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q2|L=semi_fundid,100.81,0.8462,102.98,0.716989,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q2|L=fundida,100.81,0.8462,102.03,0.682863,,,,,N/A,NOT REACHED
P1-06|f20|T=atual_Q12|L=quase_sol,162.85,0.9048,165.37,0.869990,,,,,N/A,NOT REACHED
P1-06|f20|T=atual_Q12|L=semi_sol,162.85,0.9048,164.42,0.855616,,,,,N/A,NOT REACHED
P1-06|f20|T=atual_Q12|L=transicao,162.85,0.9048,163.70,0.836208,,,,,N/A,NOT REACHED
P1-06|f20|T=atual_Q12|L=semi_fundid,162.85,0.9048,163.30,0.814541,,,,,N/A,NOT REACHED
P1-06|f20|T=atual_Q12|L=fundida,162.85,0.9048,163.08,0.790907,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q9|L=quase_sol,162.85,0.9048,165.94,0.868001,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q9|L=semi_sol,162.85,0.9048,164.86,0.854650,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q9|L=transicao,162.85,0.9048,163.96,0.835828,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q9|L=semi_fundid,162.85,0.9048,163.44,0.814400,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q9|L=fundida,162.85,0.9048,163.16,0.790858,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q7|L=quase_sol,162.85,0.9048,166.51,0.865973,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q7|L=semi_sol,162.85,0.9048,165.31,0.853602,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q7|L=transicao,162.85,0.9048,164.25,0.835402,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q7|L=semi_fundid,162.85,0.9048,163.60,0.814240,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q7|L=fundida,162.85,0.9048,163.24,0.790802,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q5|L=quase_sol,162.85,0.9048,167.35,0.862820,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q5|L=semi_sol,162.85,0.9048,166.04,0.851851,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q5|L=transicao,162.85,0.9048,164.73,0.834655,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q5|L=semi_fundid,162.85,0.9048,163.88,0.813954,,,,,N/A,NOT REACHED
P1-06|f20|T=jovem_Q5|L=fundida,162.85,0.9048,163.39,0.790701,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q4|L=quase_sol,162.85,0.9048,167.95,0.860460,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q4|L=semi_sol,162.85,0.9048,166.60,0.850447,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q4|L=transicao,162.85,0.9048,165.13,0.834025,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q4|L=semi_fundid,162.85,0.9048,164.11,0.813707,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q4|L=fundida,162.85,0.9048,163.52,0.790613,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q3|L=quase_sol,162.85,0.9048,168.78,0.857084,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q3|L=semi_sol,162.85,0.9048,167.41,0.848309,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q3|L=transicao,162.85,0.9048,165.75,0.833012,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q3|L=semi_fundid,162.85,0.9048,164.50,0.813298,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q3|L=fundida,162.85,0.9048,163.74,0.790466,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q2|L=quase_sol,162.85,0.9048,170.04,0.851720,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q2|L=semi_sol,162.85,0.9048,168.71,0.844619,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q2|L=transicao,162.85,0.9048,166.83,0.831116,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q2|L=semi_fundid,162.85,0.9048,165.22,0.812498,,,,,N/A,NOT REACHED
P1-06|f20|T=turb_Q2|L=fundida,162.85,0.9048,164.16,0.790171,,,,,N/A,NOT REACHED
